YEAR1,YEAR2,site1,site2,hv1_size,hv2_size,size_ratio,jaccard,sorensen,uniq_y1,uniq_y2,dist_cent
2021,2018,Dakiti,Palominitos (2016),23.71007576001366,178.25695949408947,0.1330106595967145,0.11383035602669368,0.20439442220403203,0.1294642857142857,0.8842094704403601,0.7833747123977706
2023,2018,Dakiti,Palominitos (2016),44.01027762859654,178.25695949408947,0.24689233875357222,0.17993502091236052,0.3049914066848011,0.22984356197352593,0.8098542758095233,1.040746810992594
2023,2021,Dakiti,Palominitos (2016),44.01027762859654,4.947899123983688,8.894740277801516,0.10696416879126487,0.19325678609464478,0.8925080640015162,0.04388714733542322,0.6351342025303096
2018,2016,Palominos (2016),Palominitos (2016),58.178382232676945,5573.214230325187,0.010438928027584962,0.005772622242825738,0.011478980666530893,0.44444444444444436,0.9942005955402305,1.784927890779166
2021,2016,Palominos (2016),Palominitos (2016),58.171338167689434,5573.214230325187,0.010437664113316392,0.00771073732084374,0.015303473576839994,0.25925925925925924,0.9922683969530989,1.755750760154467
2023,2016,Palominos (2016),Palominitos (2016),51.57407780909163,5573.214230325187,0.009253919852652493,0.007311923226785428,0.01451769418823652,0.20833333333333343,0.9926739801166501,1.6565262439939787
2021,2018,Palominos (2016),Palominitos (2016),58.171338167689434,178.25695949408947,0.32633417698128214,0.1855236624491026,0.3129817958518691,0.3639672429481347,0.7924407736943438,0.778948376399964
2023,2018,Palominos (2016),Palominitos (2016),51.57407780909163,178.25695949408947,0.2893243436635734,0.1774057720874264,0.30135026733035825,0.32854209445585214,0.8057308821807218,0.8216513893447148
2023,2021,Palominos (2016),Palominitos (2016),51.57407780909163,4.947899123983688,10.423429523673866,0.08492342053275717,0.15655191679990665,0.9142144250940616,0.10582010582010581,0.6814960146019284
2018,2016,Canal Luis Pena,Canal Luis Pena,1632.490301140705,740.2192991952788,2.2054143993752238,0.30847160284678127,0.47149911725352517,0.6573546313642212,0.2443249701314217,1.0567389114754506
2021,2016,Canal Luis Pena,Canal Luis Pena,610.5487164369315,740.2192991952788,0.8248213969842217,0.5363260709849691,0.6981930217992328,0.22766457680250785,0.3629612172978444,1.1103967668365402
2023,2016,Canal Luis Pena,Canal Luis Pena,166.47826222943988,740.2192991952788,0.22490397428224967,0.151945476169589,0.26380671535745437,0.2816091954022989,0.838431052958154,1.9276262824294677
2021,2018,Canal Luis Pena,Canal Luis Pena,610.5487164369315,1632.490301140705,0.3739983729216092,0.3342511931365291,0.5010318819363819,0.07965242577842149,0.6557915047187797,0.34369839991335216
2023,2018,Canal Luis Pena,Canal Luis Pena,166.47826222943988,1632.490301140705,0.1019781018687296,0.08317635402656447,0.15357860004489096,0.17021276595744678,0.9153798729174372,1.0585799579526631
2023,2021,Canal Luis Pena,Canal Luis Pena,166.47826222943988,610.5487164369315,0.27266990781830064,0.24637889390328876,0.39535151807923063,0.07736063708759953,0.7484240099651402,0.8764335874890743
2018,2016,Carlos Rosario,Canal Luis Pena,599.7830165388261,740.2192991952788,0.8102774639770586,0.35094050624089695,0.5195499055949071,0.41962504986039095,0.5297352572450658,1.6233112913096774
2021,2016,Carlos Rosario,Canal Luis Pena,101.47290028688009,740.2192991952788,0.13708491577725038,0.08885522051969619,0.16320851265659866,0.3231132075471697,0.9072090310658706,2.041153810431803
2023,2016,Carlos Rosario,Canal Luis Pena,20.57823661651962,740.2192991952788,0.027800189266736254,0.019560660392368107,0.03837076331454447,0.2906976744186046,0.9802812611015009,2.0383333250690723
2021,2018,Carlos Rosario,Canal Luis Pena,101.47290028688009,1632.490301140705,0.062158348025697766,0.056138243316884925,0.10630851343963907,0.09170305676855896,0.9435417624919427,1.1328903979913882
2023,2018,Carlos Rosario,Canal Luis Pena,20.57823661651962,1632.490301140705,0.012605426569542586,0.01149670070987885,0.022732057755226184,0.08695652173913042,0.9884906974799829,1.1058389609331047
2023,2021,Carlos Rosario,Canal Luis Pena,20.57823661651962,610.5487164369315,0.033704495747056924,0.03241571607625371,0.0627958594033249,0.03703703703703711,0.9675438189102414,0.9820111254676446
2018,2016,Dakiti,Canal Luis Pena,182.43124268413095,740.2192991952788,0.24645566912732353,0.14091871000533554,0.24702673164975358,0.3753280839895014,0.8460460649545852,1.3609073776815785
