site1,site2,hv1_size,hv2_size,size_ratio,jaccard,sorensen,uniq_y1,uniq_y2,dist_cent,i,year
Carlos Rosario,Cayo Diablo (2016),101.47290028688009,107.23918759789483,0.9462296624939377,0.15549539273162072,0.2691406538004892,0.7232122683467029,0.7380952380952381,1.1482286485302444,1,2021
Carlos Rosario,Dakiti,101.47290028688009,23.71007576001366,4.279737497001639,0.18677452220357885,0.31475991219760885,0.8058467707251973,0.16907514450867053,0.35591857053393966,1,2021
Carlos Rosario,Palominitos (2016),101.47290028688009,4.947899123983688,20.508279927336414,0.0487607933743412,0.09298744514934719,0.9512392066256588,0,0.26237976752800507,1,2021
Carlos Rosario,Palominos (2016),101.47290028688009,58.171338167689434,1.744379680494302,0.2704503029388862,0.42575502924162156,0.6650862584033694,0.41578327444051827,0.7599795847318356,1,2021
Cayo Diablo (2016),Dakiti,107.23918759789483,23.71007576001366,4.522937365672637,0.07922144985330795,0.14681222257781484,0.9103641456582633,0.5945826450937692,1.143151411073734,1,2021
Cayo Diablo (2016),Palominitos (2016),107.23918759789483,4.947899123983688,21.6736810736662,0.03061195034711374,0.0594053859686054,0.9689268571653306,0.326530612244898,1.2404803001472422,1,2021
Cayo Diablo (2016),Palominos (2016),107.23918759789483,58.171338167689434,1.843505598732462,0.09476735955090448,0.17312784990188226,0.8664799253034547,0.7538549947537422,1.2499359004817314,1,2021
Dakiti,Palominitos (2016),23.71007576001366,4.947899123983688,4.791948090672478,0.19243110872598518,0.3227542577811175,0.8049461438500873,0.06531204644412189,0.34236532932028363,1,2021
Dakiti,Palominos (2016),23.71007576001366,58.171338167689434,0.40759034443500447,0.31528235694303064,0.47941395287291394,0.1721854304635761,0.662590774474334,0.8044604663951898,1,2021
Palominitos (2016),Palominos (2016),4.947899123983688,58.171338167689434,0.08505733716698198,0.07155458463393986,0.1335528505220927,0.14814814814814806,0.9275437498207191,0.9893516221992465,1,2021
Canal Luis Pena,Carlos Rosario,166.47826222943988,20.57823661651962,8.090015939256713,0.10260359013979127,0.18611147479899443,0.8954417219258985,0.15412186379928325,0.6038098674515022,1,2022
Canal Luis Pena,Cayo Diablo (2016),166.47826222943988,82.27763152954911,2.023372077375016,0.06094674911749856,0.11489125004284034,0.9141633411871349,0.8263205013428827,0.7687261382196022,1,2022
Canal Luis Pena,Dakiti,166.47826222943988,44.01027762859654,3.78271329334372,0.20665349572539743,0.34252334486656366,0.7834635051965841,0.18090452261306533,0.5221936820941098,1,2022
Canal Luis Pena,Palominitos (2016),166.47826222943988,4.220966674027412,39.44079048380535,0.023533329031480827,0.04598448993106899,0.9764247990469334,0.07017543859649118,0.6897652416683843,1,2022
Canal Luis Pena,Palominos (2016),166.47826222943988,51.57407780909163,3.227944527591584,0.1945461552957086,0.32572396542944615,0.7866842435842037,0.3114285714285714,0.6746552288122959,1,2022
Carlos Rosario,Cayo Diablo (2016),20.57823661651962,82.27763152954911,0.2501073041842384,0.13173841323436103,0.2328071782203978,0.41818181818181827,0.8544830230200794,0.6533010846014147,1,2022
Carlos Rosario,Dakiti,20.57823661651962,44.01027762859654,0.4675779778119034,0.40994854077232,0.5815085145558073,0.08741522230595329,0.5732954550638922,0.5937189701800882,1,2022
Carlos Rosario,Palominitos (2016),20.57823661651962,4.220966674027412,4.875242617560164,0.1896886967587625,0.3188879532529111,0.8078511942739314,0.06322795341098171,0.5165057671685817,1,2022
Carlos Rosario,Palominos (2016),20.57823661651962,51.57407780909163,0.39900348180131745,0.289324831676933,0.44880052655253494,0.21319796954314713,0.6860632503593694,0.4506494980569261,1,2022
Cayo Diablo (2016),Dakiti,82.27763152954911,44.01027762859654,1.8695094864861204,0.12554743574657357,0.22308688511790387,0.8287920072661217,0.6799250334217678,1.0124621277858137,1,2022
Cayo Diablo (2016),Palominitos (2016),82.27763152954911,4.220966674027412,19.492603918392078,0.03845855159187823,0.07406853462359991,0.9610658188815661,0.2410714285714286,0.19466334847318628,1,2022
Cayo Diablo (2016),Palominos (2016),82.27763152954911,51.57407780909163,1.5953291852180238,0.12782250857632935,0.22667132036171542,0.815622161671208,0.7058566534066677,0.7926314380596378,1,2022
Dakiti,Palominitos (2016),44.01027762859654,4.220966674027412,10.426587326406056,0.09090807771694825,0.16666496393940106,0.908675211500755,0.047794117647058806,0.94569566120574,1,2022
Dakiti,Palominos (2016),44.01027762859654,51.57407780909163,0.8533410484140209,0.4419632493274966,0.6130020990945776,0.33432128037937164,0.4319490234920299,0.3952586176402043,1,2022
Palominitos (2016),Palominos (2016),4.220966674027412,51.57407780909163,0.0818427949337628,0.07041594716967102,0.13156744788016397,0.1304347826086957,0.9288323522315106,0.7554938996502766,1,2022
