Taxon,RedList,DestrCrit,PopRed,PopRedBack,GenLength,UpperDepth,LowerDepth,DepthRange,DepthRange20,GenGlobAbd,ResFragRange,OffReef,SuscBleaching,ResistBleaching,SuscDisease,ResistDisease,Recover,SuscCoTs,Collection1000
MUS_Acanthastrea_maxima,NT,De+Cr,0.19,0.16,10,5,15,10,1,rare,1,0,0,0,0,0,0,0,0
MUS_Acanthastrea_regularis,VU,De+Cr,0.36,0.14,10,2,20,18,1,uncommon,0,0,0,0,0,0,0,0,0
MUS_Acanthastrea_rotundoflora,NT,De,0.18,0.08,10,2,30,28,0,uncommon,0,0,0,0,0,0,0,0,0
MUS_Acanthastrea_subechinata,NT,De,0.19,0.09,10,0,35,35,0,uncommon,0,0,0,0,0,0,0,0,0
MUS_Australomussa_rowleyensis,NT,De,0.22,0.1,10,2,40,38,0,uncommon,0,0,0,0,0,0,0,0,0
MUS_Blastomussa_loyae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS_Blastomussa_merleti,LC,De,0.21,0.09,10,2,50,48,0,common,0,0,0,0,0,0,0,0,0
MUS_Blastomussa_wellsi,NT,De,0.18,0.08,10,2,40,38,0,uncommon,0,0,0,0,0,0,0,0,1
MUS_Cynarina_lacrymalis,NT,De,0.2,0.09,10,3,50,47,0,uncommon,0,1,1,0,0,0,1,0,1
MUS_Indophyllia_macassarensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS_Isophyllastrea_rigida,LC,De,0.1,0.21,10,3,20,17,1,common,0,1,0,0,1,0,0,0,0
MUS_Isophyllia_sinuosa,LC,De,0.1,0.21,10,1,20,19,1,common,0,1,0,0,0,0,0,0,0
MUS_Lobophyllia_corymbosa,LC,De,0.2,0.09,10,2,40,38,0,common,0,0,0,0,0,0,0,0,1
MUS_Lobophyllia_dentatus,VU,De+Cr,0.38,0.15,10,2,10,8,1,uncommon,0,0,0,0,0,0,0,0,0
MUS_Lobophyllia_diminuta,VU,De+Cr,0.38,0.15,10,1,10,9,1,uncommon,0,0,0,0,0,0,0,1,0
MUS_Lobophyllia_flabelliformis,VU,De+Cr,0.38,0.15,10,3,30,27,0,uncommon,0,0,0,0,0,0,0,1,0
MUS_Lobophyllia_hataii,LC,De,0.2,0.09,10,2,40,38,0,common,0,0,0,0,0,0,0,0,0
MUS_Lobophyllia_hemprichii,LC,De,0.2,0.09,10,1,50,49,0,common,0,0,0,0,0,0,0,0,1
MUS_Lobophyllia_pachysepta,NT,De,0.22,0.1,10,3,30,27,0,uncommon,0,0,0,0,0,0,0,0,0
MUS_Lobophyllia_robusta,LC,De,0.18,0.09,10,2,40,38,0,common,0,0,0,0,0,0,0,0,0
MUS_Lobophyllia_serratus,EN,De+Cr,0.66,0.24,10,4,15,11,1,rare,0,0,0,0,0,0,0,0,0
MUS_Micromussa_amakusensis,NT,De,0.18,0.09,10,1,30,29,0,uncommon,0,0,0,0,0,0,0,0,0
MUS_Micromussa_diminuta,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS_Micromussa_minuta,NT,De,0.22,0.1,10,1,30,29,0,uncommon,0,0,0,0,0,0,0,0,0
MUS_Mussa_angulosa,LC,De,0.1,0.21,10,5,30,25,0,uncommon,0,0,1,0,1,0,0,0,0
MUS_Mussismilia_braziliensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS_Mussismilia_harttii,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS_Mussismilia_hispida,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS_Mycetophyllia_aliciae,LC,De,0.1,0.21,10,10,85,75,0,common,0,0,0,0,1,0,0,0,0
MUS_Mycetophyllia_danaana,LC,De,0.1,0.21,10,15,30,15,1,common,0,0,1,0,1,0,1,0,0
MUS_Mycetophyllia_ferox,VU,De+Cr,0.38,0.11,10,5,30,25,0,common,0,0,1,0,1,0,0,0,0
MUS_Mycetophyllia_lamarckiana,LC,De,0.1,0.21,10,10,75,65,0,common,0,0,1,0,1,0,1,0,0
MUS_Mycetophyllia_reesi,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS_Scolymia_australis,LC,De,0.19,0.09,10,10,40,30,0,common,0,1,0,0,0,0,0,0,0
MUS_Scolymia_cubensis,LC,De,0.1,0.21,10,10,92,82,0,uncommon,0,1,1,0,0,0,1,0,0
MUS_Scolymia_lacera,LC,De,0.1,0.21,10,10,80,70,0,uncommon,0,1,1,0,0,0,1,0,0
MUS_Scolymia_vitiensis,NT,De,0.21,0.09,10,5,50,45,0,uncommon,0,0,0,0,0,0,0,0,1
MUS_Scolymia_wellsi,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS_Symphyllia_agaricia,LC,De,0.21,0.09,10,2,40,38,0,common,0,0,0,0,0,0,0,0,1
MUS_Symphyllia_erythraea,LC,De,0.23,0.11,10,2,45,43,0,common,1,0,0,0,0,0,0,0,0
MUS_Symphyllia_hassi,VU,De+Cr,0.38,0.15,10,4,20,16,1,uncommon,0,0,0,0,0,0,0,0,0
MUS_Symphyllia_radians,LC,De,0.21,0.09,10,0,40,40,0,common,0,0,0,1,0,0,0,0,0
MUS_Symphyllia_recta,LC,De,0.2,0.09,10,0,40,40,0,common,0,0,0,1,0,0,0,0,0
MUS_Symphyllia_valenciennesii,LC,De,0.2,0.09,10,2,40,38,0,common,0,0,0,0,0,0,0,0,0
MUS_Symphyllia_wilsoni,LC,De+Cr,0.05,0.03,10,3,15,12,1,uncommon,0,0,0,0,0,0,0,0,0
OCU_Galaxea_acrhelia,VU,De+Cr,0.38,0.15,10,3,15,12,1,uncommon,0,0,0,0,0,0,0,0,0
OCU_Galaxea_astreata,VU,De+Cr,0.35,0.14,8,1,30,29,0,common,0,0,1,0,0,0,0,0,1
OCU_Galaxea_cryptoramosa,VU,De,0.38,0.15,10,5,15,10,1,uncommon,0,0,0,0,0,0,0,0,0
